team,team_id,Value (€M),Confederation,Flag,Best result,Appearances
Argentina,202201,748,CONMEBOL,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,Champion,17
Australia,202202,38,AFC,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,Round of 16,5
Belgium,202203,562,UEFA,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,3rd place,13
Brazil,202204,1455,CONMEBOL,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Champion,21
Cameroon,202205,177,CAF,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,Quarter-final,7
Canada,202206,193,CONCACAF,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg,Group stage,1
Costa Rica,202207,23,CONCACAF,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Costa_Rica_%28state%29.svg,Quarter-final,5
Croatia,202208,478,UEFA,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,Runner-up,5
Denmark,202209,403,UEFA,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,Quarter-final,5
Ecuador,202210,163,CONMEBOL,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,Round of 16,3
England,202211,1499,UEFA,https://upload.wikimedia.org/wikipedia/en/b/be/Flag_of_England.svg,Champion,15
France,202212,1337,UEFA,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,Champion,15
Germany,202213,1020,UEFA,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Champion,19
Ghana,202214,207,CAF,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,Quarter-final,3
Iran,202215,53,AFC,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,Group stage,5
Japan,202216,205,AFC,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,Round of 16,6
Korea Republic,202217,159,AFC,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,4th place,10
Mexico,202218,195,CONCACAF,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,Quarter-final,16
Morocco,202219,315,CAF,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,Round of 16,5
Netherlands,202220,756,UEFA,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Runner-up,10
Poland,202221,313,UEFA,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg,3rd place,8
Portugal,202222,1154,UEFA,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,3rd place,7
Qatar,202223,29,AFC,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg,1st appearance,0
Saudi Arabia,202224,49,AFC,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,Round of 16,5
Senegal,202225,315,CAF,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,Quarter-final,2
Serbia,202226,404,UEFA,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg,4th place,12
Spain,202227,1201,UEFA,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,Champion,15
Switzerland,202228,366,UEFA,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Quarter-final,11
Tunisia,202229,57,CAF,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg,Group stage,5
United States,202230,365,CONCACAF,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,3rd place,10
Uruguay,202231,590,CONMEBOL,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,Champion,13
Wales,202232,181,UEFA,https://upload.wikimedia.org/wikipedia/commons/d/dc/Flag_of_Wales.svg,Quarter-final,1
